,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.C_mid_CO2_scaled,feature_importance.C_mid_CO2_fd1_scaled,feature_importance.C_mid_CO2_fd2_scaled,feature_importance.C_mid_CO2_fd3_scaled,feature_importance.C_top_CO2_scaled,feature_importance.C_top_CO2_fd1_scaled,feature_importance.C_top_CO2_fd2_scaled,feature_importance.C_top_CO2_fd3_scaled
97,97,0.9220146222583265,0.9173838209982789,0.9236333678811555,0.9538653697945733,-0.003980503655564682,0.06279447603574329,0.009341998375304583,0.015272136474410836,0.0007311129163282137,0.0441104792851339,0.04971567831031665,0.0006498781478472271
98,98,0.9325751421608448,0.9282627484874676,0.9339299476467617,0.953012304339738,0.0030056864337936195,0.07603574329813156,0.04183590576766849,0.016084484159220147,0.004224207961007309,0.019658813972380118,0.014784727863525582,0.05125913891145406
99,99,0.9147034930950447,0.9087749782797567,0.9155345611097823,0.948911743602009,-0.003574329813160082,0.05629569455727068,0.039561332250203196,-0.0002437043054426269,-0.0010560519902517163,0.008854589764419218,0.011616571892770211,0.01722177091795296
100,100,0.9228269699431356,0.917319408181027,0.9235788886231364,0.9520848281910228,0.0014622258326563164,0.0538586515028433,0.016734362307067485,0.006173842404549212,-0.0025182778229082547,0.013647441104792768,0.028513403736799448,0.001787164906579819
101,101,0.9277010560519903,0.9236051502145923,0.9295596481437189,0.9559754444710195,0.007311129163281804,0.06490658001624694,0.09244516653127532,0.012103980503655576,0.007067424857839288,0.03777416734362293,0.012997562956945541,0.010316815597075646
102,102,0.9082047116165719,0.9018245004344049,0.9089917350979297,0.9506922852055596,0.005361494719740012,0.104630381803412,0.1108042242079611,0.06295694557270515,0.005361494719740012,0.01023558082859466,0.04882209585702679,0.014703493095044595
103,103,0.9203899268887084,0.9150779896013865,0.9214608413723457,0.9564697440803636,0.0006498781478472271,0.054427294882209654,0.02461413484971564,0.005280259951259136,-0.00032493907392361354,0.017546709991876686,0.028350934199837363,0.0004061738424046002
104,104,0.909017059301381,0.9065108514190318,0.9129634058837599,0.9541523824709666,-0.012916328188464665,0.08513403736799341,0.07059301380991068,0.02761982128350937,-0.011047928513403638,0.06596263200649877,0.055402112103980494,0.044760357432981346
105,105,0.925264012997563,0.9208261617900172,0.9269047808870818,0.9485689229052061,-0.00016246953696175126,0.07254264825345247,0.08188464662875716,0.04906580016246953,0.00601137286758735,0.011210398050365611,0.03866774979691312,0.02266450040617396
106,106,0.9244516653127539,0.9196197061365601,0.9257514151319461,0.9526973876531399,0.004711616571892785,0.032981316003249384,0.06263200649878164,0.023883021933387427,-0.00032493907392361354,0.04004874086108856,0.004549147034931034,0.0028432168968319793
107,107,0.9244516653127539,0.9198966408268734,0.9260198251348694,0.9480081851763268,0.0030056864337937306,0.042567018683996816,0.033549959382615846,0.03330625507717322,0.0068237205523966615,0.02185215272136487,0.06913078797725436,0.004224207961007309
108,108,0.925264012997563,0.9194395796847635,0.9255627308724654,0.9590953785644051,0.0034930950446793174,0.05418359057676703,0.033956133225020446,0.021527213647441146,0.005442729488220999,0.03525588952071501,0.03281884646628763,0.004549147034931034
109,109,0.9277010560519903,0.922943722943723,0.9288886231364107,0.9582954636051981,0.009098294069861956,0.04695369618196599,0.04126726238830214,0.01104792851340386,0.006336311941510964,0.04354183590576777,0.05036555645816421,0.015515840779853907
110,110,0.9195775792038993,0.9127753303964757,0.9193680406069786,0.9486645937973373,0.0050365556458162875,0.015272136474411058,0.06360682372055237,0.011941510966693714,-0.0004061738424047112,0.04443541835905773,0.008123476848090783,0.006742485783915564
111,111,0.9236393176279447,0.918825561312608,0.9250006643811954,0.9546360519811846,0.0006498781478471161,0.01640942323314376,0.043704305442729297,0.004386677497969171,-0.003574329813159971,0.0077173030056862935,0.010235580828594548,0.009666937449228086
